title,description,url,course_number,topics,instructors,availability,year
Robotic Manipulation,"Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based). Homework assignments will guide students through building a software stack that will enable a robotic arm to autonomously manipulation objects in cluttered scenes (like a kitchen). A final project will allow students to dig deeper into a specific aspect of their choosing. The class has hardware available for ambitious final projects, but will also make heavy use of simulation using cloud resources.",https://ocw.mit.edu/courses/6-4210-robotic-manipulation-fall-2022/,6-4210,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering; Electrical Engineering",Prof. Russell Tedrake,Anytime,2022
Social and Ethical Responsibilities of Computing (SERC),"Social and Ethical Responsibilities of Computing (SERC), a cross-cutting initiative of the MIT Schwarzman College of Computing, works to train students and facilitate research to assess the broad challenges and opportunities associated with computing, and improve design, policy, implementation, and impacts. This site is a resource for SERC pedagogical materials developed for use in MIT courses. SERC brings together cross-disciplinary teams of faculty, researchers, and students to develop original pedagogical materials that meet our goal of training students to practice responsible technology development through incorporation of insights and methods from the humanities and social sciences, including an emphasis on social responsibility. Materials include the MIT Case Studies Series in Social and Ethical Responsibilities of Computing, original Active Learning Projects, and lecture materials that provide students hands-on practice and training in SERC, together with other resources and tools found useful in education at MIT. Original homework assignments and in-class demonstrations are specially created by multidisciplinary teams, to enable instructors to embed SERC-related material into a wide variety of existing courses. The aim of SERC is to facilitate the development of responsible “habits of mind and action” for those who create and deploy computing technologies, and fostering the creation of technologies in the public interest.",https://ocw.mit.edu/courses/res-tll-008-social-and-ethical-responsibilities-of-computing-serc/,RES-TLL-008,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Education & Teaching; Pedagogy and Curriculum; Faculty Leadership; Engineering",SERC Contributors,Anytime,2025
Special Topics in Media Technology: Cooperative Machines,"This course examines the issues, principles, and challenges toward building machines that cooperate with humans and with other machines. Philosophical, scientific, and theoretical insights into this subject will be covered, as well as how these ideas are manifest in both natural and artificial systems (e.g. software agents and robots).",https://ocw.mit.edu/courses/mas-965-special-topics-in-media-technology-cooperative-machines-fall-2003/,MAS-965,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Art, Design & Architecture; Media Studies; Engineering",Prof. Cynthia Breazeal,Anytime,2003
Statistical Learning Theory and Applications,"Focuses on the problem of supervised learning from the perspective of modern statistical learning theory starting with the theory of multivariate function approximation from sparse data. Develops basic tools such as Regularization including Support Vector Machines for regression and classification. Derives generalization bounds using both stability and VC theory. Discusses topics such as boosting and feature selection. Examines applications in several areas: computer vision, computer graphics, text classification and bioinformatics. Final projects and hands-on applications and exercises are planned, paralleling the rapidly increasing practical uses of the techniques described in the subject.",https://ocw.mit.edu/courses/9-520-statistical-learning-theory-and-applications-spring-2003/,9-520,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Science & Math; Cognitive Science; Mathematics; Engineering",Dr. Ryan Rifkin; Dr. Sayan Mukherjee; Prof. Tomaso Poggio; Alex Rakhlin,Anytime,2003
Techniques in Artificial Intelligence (SMA 5504),"6.825 is a graduate-level introduction to artificial intelligence. Topics covered include: representation and inference in first-order logic, modern deterministic and decision-theoretic planning techniques, basic supervised learning methods, and Bayesian network inference and learning. This course was also taught as part of the Singapore-MIT Alliance (SMA) programme as course number SMA 5504 (Techniques in Artificial Intelligence).",https://ocw.mit.edu/courses/6-825-techniques-in-artificial-intelligence-sma-5504-fall-2002/,6-825,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Science & Math; Cognitive Science; Engineering",Prof. Tomás Lozano-Pérez; Prof. Leslie Kaelbling,Anytime,2002
The Battlecode Programming Competition,"This course is conducted as an artificial intelligence programming contest in Java. Students work in teams to program virtual robots to play Battlecode, a real-time strategy game. Optional lectures are provided on topics and programming practices relevant to the game, and students learn and improve their programming skills experientially. The competition culminates in a live Battlecode tournament. This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.",https://ocw.mit.edu/courses/6-370-the-battlecode-programming-competition-january-iap-2013/,6-370,"Data Science, Analytics & Computer Technology; AI; Programming & Coding; Machine Learning; Computer Science; Art, Design & Architecture; Game Design; Engineering",Maxwell Mann,Anytime,2013
The Human Intelligence Enterprise,"This course analyzes seminal work directed at the development of a computational understanding of human intelligence, such as work on learning, language, vision, event representation, commonsense reasoning, self reflection, story understanding, and analogy. It reviews visionary ideas of Turing, Minsky, and other influential thinkers and examines the implications of work on brain scanning, developmental psychology, and cognitive psychology. There is an emphasis on discussion and analysis of original papers; students taking the graduate version complete additional exercises and a substantial term project.",https://ocw.mit.edu/courses/6-803-the-human-intelligence-enterprise-spring-2019/,6-803,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Science & Math; Cognitive Science; Engineering",Patrick Henry Winston,Anytime,2019
The Society of Mind,"This course is an introduction to the theory that tries to explain how minds are made from collections of simpler processes. It treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. It incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning.",https://ocw.mit.edu/courses/6-868j-the-society-of-mind-fall-2011/,6-868J,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Philosophy; Engineering; Humanities",Prof. Marvin Minsky,Anytime,2011
Underactuated Robotics,"Robots today move far too conservatively, using control systems that attempt to maintain full control authority at all times. Humans and animals move much more aggressively by routinely executing motions which involve a loss of instantaneous control authority. Controlling nonlinear systems without complete control authority requires methods that can reason about and exploit the natural dynamics of our machines. This course discusses nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on machine learning methods. Topics include nonlinear dynamics of passive robots (walkers, swimmers, flyers), motion planning, partial feedback linearization, energy-shaping control, analytical optimal control, reinforcement learning/approximate optimal control, and the influence of mechanical design on control. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines. Acknowledgments Professor Tedrake would like to thank John Roberts for his help with the course and videotaping the lectures.",https://ocw.mit.edu/courses/6-832-underactuated-robotics-spring-2009/,6-832,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering; Electrical Engineering",Prof. Russell Tedrake,Anytime,2009
Visual Navigation for Autonomous Vehicles (VNAV),"This course covers the mathematical foundations and state-of-the-art implementations of algorithms for vision-based navigation of autonomous vehicles (e.g., mobile robots, self-driving cars, drones). It provides students with a rigorous but pragmatic overview of differential geometry and optimization on manifolds and knowledge of the fundamentals of 2-view and multi-view geometric vision for real-time motion estimation, calibration, localization, and mapping. The theoretical foundations are complemented with hands-on labs based on state-of-the-art mini racecar and drone platforms. It culminates in a critical review of recent advances in the field and a team project aimed at advancing the state of the art.",https://ocw.mit.edu/courses/16-485-visual-navigation-for-autonomous-vehicles-vnav-fall-2020/,16-485,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Visualization; Computer Science; Engineering; Aerospace Engineering",Prof. Luca Carlone; Kasra Khosoussi; Markus Ryll; Golnaz Habibi; Vasileios Tzuomas; Rajat Talak,Anytime,2020
